23059.830802043376
19469.61127037836,26350.670025765336
22175.983244516006,20770.73598558396
23183.367395526086,26618.821934109386
24241.222312708698,28295.788340338677
23692.45579021846
24489.019513022453
18857.117080542754
19494.471273151845
